class,samples,v4_top1,v6_top1,avg_top1,conf_top1,trust_top1,oracle_top1
haircut_scissor,3,0.0,66.66666666666667,33.333333333333336,0.0,66.66666666666667,66.66666666666667
hammer_throw,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
hammering_nail,3,0.0,0.0,0.0,0.0,0.0,0.0
hand-drill_firemaking_blow,3,0.0,0.0,0.0,0.0,0.0,0.0
hand-drill_firemaking_drill_with_bow,3,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
hand-drill_firemaking_drill_with_hand,3,100.0,33.333333333333336,100.0,100.0,66.66666666666667,100.0
hand_in_hand,3,0.0,0.0,0.0,0.0,0.0,0.0
handsaw,3,0.0,0.0,0.0,0.0,0.0,0.0
handshake_dog,3,0.0,0.0,0.0,0.0,0.0,0.0
handstand,3,100.0,100.0,100.0,100.0,100.0,100.0
hanging_clothes,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
headbang,3,0.0,0.0,0.0,0.0,0.0,0.0
heimlich_maneuver,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
high_five,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
high_jump_jump,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
high_jump_run,3,0.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0
high_knees,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
hold_baby,3,0.0,0.0,0.0,0.0,0.0,0.0
hold_baby_with_wrap,3,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
hookah,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
hopscotch_pickup,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
hopscotch_skip,3,0.0,0.0,0.0,0.0,33.333333333333336,0.0
hopscotch_spin,3,0.0,0.0,0.0,0.0,0.0,0.0
horizontalbar_flip,3,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336
horizontalbar_jump,3,0.0,0.0,0.0,0.0,0.0,0.0
horizontalbar_land,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
horizontalbar_spin,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
hugging_animal,3,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336
hugging_human,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
hurdle_jump,3,66.66666666666667,100.0,100.0,100.0,100.0,100.0
ice_scuplting,3,0.0,0.0,0.0,0.0,0.0,0.0
ironing_clothes,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
jack_up_car,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
javelin_run,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
javelin_throw,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
jetski,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
juggling_balls,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
jump rope,3,0.0,33.333333333333336,33.333333333333336,0.0,33.333333333333336,33.333333333333336
jumping_jack,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
kayaking,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
kick_jianzi,3,100.0,100.0,100.0,100.0,100.0,100.0
kick_open_door,3,0.0,0.0,0.0,0.0,0.0,0.0
kiss,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
knitting,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
leg_hold_back,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
leg_hold_front,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
leg_split,3,66.66666666666667,100.0,100.0,100.0,100.0,100.0
long_jump_jump,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
long_jump_run,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
luge,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
milking,3,0.0,0.0,0.0,0.0,0.0,0.0
moonwalk,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
neck_side_pull_stretch,3,33.333333333333336,100.0,100.0,66.66666666666667,100.0,100.0
one_arm_push_up,3,33.333333333333336,0.0,0.0,0.0,0.0,33.333333333333336
opening_door,3,0.0,0.0,0.0,0.0,0.0,0.0
pancake_flip,3,0.0,0.0,0.0,0.0,0.0,0.0
paragliding,3,0.0,0.0,0.0,0.0,0.0,0.0
peeling_banana,3,0.0,0.0,0.0,0.0,0.0,0.0
petanque_throw,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
piggyback_ride,3,33.333333333333336,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
pirouette,3,100.0,100.0,100.0,100.0,100.0,100.0
pizza_dough_toss,3,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336
play_ otamatone,3,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_ piccolo,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_accordian,3,0.0,0.0,0.0,0.0,0.0,0.0
play_bagpipes,3,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_bangu,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
